A&A,Astronomy And Astrophysics
AACS,Attitude And Articulation Control Subsystem
AAO,Anglo-Australian Observatory
AAS,American Astronomical Society
AAS,American Astronautical Society
AAVSO,American Association Of Variable Star Observers
AC,Atlas Centaur
ACE,Advanced Composition Explorer
ACF,Automated Control Function
ACR,Active Cavity Radiometer
ACRIM,ACR Irradiance Monitor
ACRV,Assured Crew Return Vehicle
ACRV,Astronaut Crew Rescue Vehicle
ACTS,Advanced Communications Technology Satellite
ADEOS,Advanced Earth Observing Satellite
ADFRF,Ames-Dryden Flight Research Facility
ADS,Astrophysical Data System (at Havard-Smithsonian CfA)
ADS,Aitken Double Star Catalog
AE, Arianespace SA
AEPI,Atmospheric Emissions Photometric Imaging
AF,Air Force
AFETR,USAF's ETR
AFGWC,Air Force Global Weather Center
AFP,Air Force Program
AFPRO,Air Force Plan Representative Office
AFRSI,Advanced FRSI
AFWTR,USAF's WTR
AGB,Asymptotic Giant Branch
AGE,Auxiliary Ground Equipment
AGN,Active Galactic Nucleus
AGU,American Geophysical Union
AIAA,American Institute Of Aeronautics And Astronautics
AIPS,Astronomical Image Processing System
AIRS,Atmospheric Infrared Sounder
AJ,Astronomical Journal
ALAE,Atmospheric Lyman-Alpha Emissions
ALDP,Advanced Launch Development Program
ALEXIS,Array Of Low Energy X-ray Imaging Sensors
ALPO,Association Of Lunar And Planetary Observers
ALS,Advanced Launch System
AMOS,Air Force Maui Optical System
AMSR,Advanced Microwave Sounding Radiometer
ANSI,American National Standards Institute
AOA,Abort Once Around (shuttle Abort Plan)
AOA,Angle Of Attack
AOCS,Attitude And Orbit Control System
APE,Auroral Photography Experiment
APJ,Astrophysical Journal
APL,Applied Physics Laboratory (at Johns Hopkins)
APM,Attached Pressurized Module (a.k.a. Columbus)
APM,Atmospheric Particle Monitor
APT,Automatic Picture Transmission
APT,Automatic Photoelectric Telescope
APU,Auxiliary Power Unit
ARC,Ames Research Center (NASA)
ARC,Astrophysical Research Consortium
ARISTOTELES,Applications And Research Involving Space Technologies Observing The Earth's Field From Low Earth Orbiting Satellite
ARRL,American Radio Relay League
ARTEMIS,Advanced Relay TEchnology MISsion
ASA,Astronomical Society Of The Atlantic
ASCO,Arab Satellite Communications Organization
ASE,Advanced Space Engine
ASEM,Assembly Of Station By EVA Methods
ASI,Agenzia Spaziale Italiano
ASP,Astronomical Society Of The Pacific
ASRM,Advanced Solid Rocket Motor
ASS,Antenna Support Structure
ASTER,Advanced Spaceborne Thermal Emission And Reflection
ASTRO,Space Astrophysics Laboratory
ATAL,Alternate Transoceanic Abort Landing
ATCS,Active Thermal Control System
ATDRS,Advanced Tracking And Data Relay Satellite
ATLAS,Atmospheric Laboratory For Applications And Science
ATM,Amateur Telescope Maker
ATM,Apollo Telescope Mount (on Skylab)
ATMOS,Atmospheric Trace Molecule Spectroscopy
ATO,Abort To Orbit
ATSR,Along Track Scanning Radiometer
AU,Astronomical Unit
AURA,Association Of Universities For Research In Astronomy
AVHRR,Advanced Very High Resolution Radiometer
AW&ST,Aviation Week And Space Technology
AXAF,Advanced X-ray Astrophysics Facility
BAE,British Aerospace
BATSE,Burst And Transient Source Experiment
BBXRT,Broad-Band X-Ray Telescope
BC,Bolometric Correction
BD,Bonner Durchmusterung (catalog)
BDB,Big Dumb Booster
BECO,Booster Engine Cutoff
BEM,Bug-Eyed Monster
BFC,Backup Flight Computer
BFCS,Backup Flight Control System
BFS,Backup Flight System
BH,Black Hole
BIMA,Berkeley Illinois Maryland Array
BIMDA,Bioserve-Instrumentation Technology Associate Materials Dispersion Analysis
BMDO,Ballistic Missile Defense Office
BMFT,Bundesministerium Fuer Forschung Und Technologie
BNSC,British National Space Centre
C&T,Communications & Tracking
CADH,Communications And Data Handling
CARA,Center For Astrophysical Research In Antarctica
CASCA,Canadian Astronomical Society
CASSINI,Saturn Orbiter And Titan Probe
CATS,Cheap Access To Space
CBR,Cosmic Background Radiation
CCAFS,Cape Canaveral Air Force Station
CCD,Charge-Coupled Device
CCDS,Centers For The Commercial Development Of Space
CCRS,Canada Centre For Remote Sensing
CCSDS,Consultative Committee For Space Data Systems
CDA,Command And Data Acquisition
CDDT,Countdown Demonstration Test
CDM,Cold Dark Matter
CD-ROM,Compact Disk Read-Only Memory
CDS,Command And Data Subsystem
CEA,Center For EUV Astrophysics
CELSS,Controlled Ecological Life Support System
CERES,Clouds And Earth's Radiant Energy System
CETA,Crew And Equipment Translation Aid
CFA,Harvard-Smithsonian Center For Astrophysics
CFC,ChloroFluoroCarbon
CFF,Columbus Free Flyer
CFHT,Canada-France-Hawaii Telescope
CFPA,Center For Particle Astrophysics (Berkeley)
CFRP,Carbon Fibre Reinforced Plastic
CG,Center Of Gravity
CGF,Crystal Growth Furnace
CGRO,Compton Gamma Ray Observatory
CHARA,Center For High Angular Resolution Astronomy
CIRRIS,Cryogenic InfraRed Radiance Instrument For Shuttle
CIS,Commonwealth Of Independent States
CIT,Circumstellar Imaging Telescope
CITA,Canadian Institute For Theoretical Astrophysics
CITE,Cargo Integration Test Equipment
CLAES,Cryogenic Limb Array Etalon Spectrometer
CM,Command Module
CM,Center Of Mass
CM,Central Meridian
CMB,Cosmic Microwave Background
CMBR,Cosmic Microwave Background Radiation
CMCC,Central Mission Control Centre
CNES,Centre National D'Etude Spatiales
CNO,Carbon-Nitrogen-Oxygen
CNSR,Comet Nucleus Sample Return
COBE,COsmic Background Explorer
COMPTEL,COMPton TELescope
COMSAT,Communications Satellite (Corporation)
COSTAR,Corrective Optics Space Telescope Axial Replacement
CPCG,Commercial Protein Crystal Growth
CR,Correlation Radiometer
CRAF,Comet Rendezvous/Asteroid Flyby
CREAM,Cosmic Radiation Effects And Activatiom Monitor
CRIM,Commercial Refrigerator Incubator Module
CRISTA,Cryogenic Infrared Spectrometer Telescope For Atmosphere
CRL,Communication Research Lab
CRRES,Combined Release/Radiation Effects Satellite
CSA,Canadian Space Agency
CSIRO,Commonwealth Scientific And Industrial Research Organization
CSM,Command And Service Module
CSTC,Consolidated Satellite Test Center
CTIO,Cerro Tololo Interamerican Observatory
CV,Cataclysmic Variable
CXBR,Cosmic X-ray Background Radiation
CYSB,Cape York Space Base
CYSF,Cape York Space Facility
CYSP,Cape York Space Port
CZCS,Coastal Zone Color Scanner
DAC,Delayed Action Command
DACS,DATA Acquisition And Control Subsystem
DAO,Dominion Astrophysical Observatory
DARA,Deutsche Agentur Fuer Raumfahrtangelegenheiten
DARPA,Defense Advanced Research Projects Agency
DC,Delta Clipper
DCA,Defense Communications Agency
DCCS,Dynamic Cell Culture System
DCX,Delta Clipper EXperimental
DDCU,DC-to-DC Converter Unit
DDTE,Design
DEC,Declination
DESAT,Desaturation
DFRC,Dryden Flight Research Center
DFRF,Dryden Flight Research Facility
DIRBE,Diffuse Infrared Background Experiment
DLR,Deutsche Forschungsanstalt Fuer Luft- Und Raumfahrt
DM,Dark Matter
DMR,Differential Microwave Radiometer
DMSP,Defense Meteorological Satellite Program
DOD,Department Of Defense
DOE,Department Of Energy
DOE,Department Of Education
DOE,Department Of The Environment
DOMSAT,Domestic Satellite
DOR,Differenced One-way Range
DOT,Department Of Transportation
DPM,Drop Physics Module
DPSS,DATA Processing Services Subsystem
DRAO,Dominion Radio Astrophysical Observatory
DRSS,DATA Relay Satellite System
DSCS,Defense Satellite Communications System
DSN,Deep Space Network
DSO,Detailed Supplementary Objective
DSP,Defense Support Program
DSS,Deep Space Station
DSSC,Deep Space Station Complex
E,Elliptical (for Galaxies)
EAFB,Edwards Air Force Base
ECS,Environmental Control System
